serno,qa1,qa2,qa3,qa4,qa5a,qa5b,qa5c,qa6,qa7a,qa7b,qa7c,qa7d,qa7e,qa8a,qa8b,qa8c,qa8d,qa8e,qa8f,qa8g,qa8h,qa9a,qa9b,qa9c,qa9d,qa9e,qa9f,qb2a,qb2b,qb3,qb4,qb6a,qb6b,qb6c,qb6d,qb7a,qb7b,qb7c,qb8,qc1a,qc1b,qc1c,qc1d,qc2a,qc2b,qc2c,qc2d,qc2e,qc2f,qc3,qd1,qd3,qd4,qd5a,qd5b,qd5c,qe1,qe2,qe3,qe11,qe13,qe14,qe15
1002014,3,1,37,37,1,3,3,3,2,2,3,2,4,2,2,3,2,3,2,3,2,3,5,4,4,4,5,3,4,3,3,2,2,3,3,3,3,3,3,3,1,1,1,3,2,2,3,3,2,2,1,,2,,,,2,7,2,7,1,2,1
1002014,1,1,18,18,3,4,2,4,1,1,1,1,1,1,1,1,2,1,5,3,1,5,4,5,4,4,5,5,5,4,3,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,3,2,1,2,2,3,1,2,1,3,1,7,2,9,1,2,1
1002014,2,1,20,20,3,4,4,3,1,2,2,1,2,1,1,2,2,2,5,3,1,4,5,5,4,4,5,4,4,4,2,3,3,2,3,3,2,2,1,2,1,1,1,2,1,2,3,2,2,3,3,3,1,2,2,4,1,7,2,9,1,2,1
1002014,5,1,,37,1,2,3,4,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,5,4,4,4,4,2,3,3,2,2,3,3,4,3,3,,,2,3,3,3,3,4,3,3,3,2,,1,4,4,4,2,8,1,10,11,2,1
1002014,5,1,37,37,1,2,3,3,2,3,2,1,4,2,2,2,3,3,3,3,2,4,4,4,4,4,4,2,4,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,,4,3,3,3,2,6,2,10,14,2,1
1002014,5,1,44,50,1,2,3,5,2,2,2,3,4,3,2,3,3,4,4,3,3,3,2,3,3,3,4,2,3,4,1,3,3,3,2,4,4,4,5,2,3,3,3,5,,,5,3,5,4,1,,1,3,4,3,1,6,2,14,16,6,1
1003002,2,1,36,36,5,5,5,4,1,2,1,1,1,4,1,1,2,5,4,5,4,4,2,3,2,4,3,5,5,4,1,2,2,3,4,4,4,4,4,2,4,5,5,3,2,3,3,4,4,3,1,,1,,,,2,4,2,10,1,1,1
1003002,5,1,33,36,1,1,5,,1,3,1,1,1,1,1,1,3,1,3,4,1,3,5,3,5,5,5,3,3,4,2,2,2,2,2,2,2,4,2,1,2,,4,3,3,3,3,3,3,3,2,,,,,,2,6,2,12,1,1,1
1003002,3,1,36,40,1,1,2,4,3,1,3,2,1,2,2,3,4,4,2,2,2,2,4,4,4,4,4,1,4,1,1,4,4,3,4,4,4,4,4,4,2,2,2,4,4,4,3,4,3,4,3,1,1,,2,4,2,6,2,13,1,1,1
1003002,3,1,16,16,1,4,1,4,3,2,1,2,4,3,3,3,4,3,3,1,1,5,5,5,5,5,5,5,5,3,3,,4,3,,5,4,3,3,3,,,1,3,3,4,4,3,4,3,3,,2,,,,2,6,2,2,1,2,1
